Well_ID,Operator,Region,Well_Type,Formation,Latitude,Longitude,Spud_Date,Completion_Date,TVD_Depth_m,Status,Initial_Production_boe_d,Current_Production_boe_d,Water_Cut_pct,Royalty_Rate_pct,Cumulative_Oil_bbl,Cumulative_Gas_mcf,Cumulative_Water_bbl
AB-100033,Baytex Energy,Medicine Hat,Oil,Bakken,50.002,-110.735,2001-11-03,2002-04-27,2247.0,Producing,402.3,3.0,98.0,1.11,1698734.0,220.0,2679835.0
AB-100034,Obsidian Energy,Peace River,Heavy Oil,Clearwater,56.3489,-116.5705,2009-02-14,2009-06-25,1918.8,Producing,72.3,13.6,53.4,32.02,236701.0,92.0,591598.0
AB-100035,Baytex Energy,Grande Prairie,Oil Sands,Clearwater,55.053,-118.9117,2005-07-08,2005-08-05,1576.7,Abandoned,8.2,0.0,98.0,3.6,34052.0,13.0,60125.0
AB-100036,Imperial Oil,Peace River,Oil,Duvernay,56.6277,-117.1651,2012-01-20,2012-07-07,1458.8,Producing,95.9,12.2,78.0,33.03,232476.0,1023.0,163844.0
AB-100037,MEG Energy,Lloydminster,Oil Sands,Duvernay,53.232,-109.7512,2001-10-11,2001-11-21,1488.8,Producing,77.8,3.2,80.5,23.86,490600.0,137.0,957124.0
AB-100038,Athabasca Oil Corp,Peace River,Oil Sands,Montney,56.9321,-116.9349,2021-05-08,2021-09-26,1975.2,Producing,23.9,9.5,47.5,5.42,40644.0,6688.0,55980.0
AB-100039,MEG Energy,Athabasca,Oil Sands,McMurray,56.5139,-110.8183,2000-04-25,2000-08-07,2166.8,Abandoned,209.2,0.0,65.4,7.88,1331621.0,16.0,1905681.0
AB-100040,Suncor Energy,Athabasca,Oil,Bakken,57.9512,-111.5836,2015-05-17,2015-08-20,1240.6,Orphan,57.5,0.0,40.6,36.02,120709.0,7009.0,57628.0
AB-100041,Athabasca Oil Corp,Cold Lake,Gas,Bakken,54.4195,-110.1915,2003-03-04,2003-07-25,,Producing,31.6,3.2,,33.75,4335.0,3596.0,6076.0
AB-100042,Obsidian Energy,Peace River,Oil,Bakken,56.2311,-116.8281,2019-09-15,2019-12-05,1900.3,Suspended,160.8,0.0,47.7,37.83,189980.0,12.0,101582.0
AB-100043,MEG Energy,Athabasca,Oil,McMurray,56.5197,-111.9602,2001-12-18,2002-01-03,1169.6,Abandoned,164.8,0.0,54.4,34.58,791872.0,54.0,2321197.0
AB-100044,Athabasca Oil Corp,Cold Lake,Gas,Clearwater,54.4526,-109.8102,2014-02-19,2014-03-19,2408.8,Producing,172.7,31.3,27.3,27.96,3416.0,3572.0,8542.0
AB-100045,Canadian Natural Resources,Cold Lake,Heavy Oil,Duvernay,54.4433,-110.044,2020-05-10,2020-08-18,2718.5,Producing,84.0,12.6,79.8,17.33,113614.0,319.0,193267.0
AB-100046,Cenovus Energy,Medicine Hat,Oil Sands,Clearwater,50.3166,-111.1338,2023-05-11,2023-07-04,,Suspended,59.6,0.0,33.5,19.87,36894.0,23.0,94897.0
AB-100047,Cenovus Energy,Peace River,Oil Sands,Montney,56.5968,-117.1658,2018-09-09,2018-11-02,1901.7,Suspended,37.9,0.0,71.1,11.61,79653.0,330.0,101528.0
AB-100048,Whitecap Resources,Athabasca,Oil,McMurray,58.3756,-111.331,2013-08-19,2013-09-10,2699.2,Suspended,124.0,0.0,65.7,2.72,434555.0,8.0,271776.0
AB-100049,MEG Energy,Peace River,Heavy Oil,McMurray,56.9244,-116.5289,2015-04-07,2015-09-14,1604.4,Producing,21.2,1.4,,18.2,53770.0,138.0,99236.0
AB-100050,Athabasca Oil Corp,Grande Prairie,Oil Sands,Viking,55.4326,-119.1812,2013-10-12,2014-03-01,1034.1,Orphan,7.9,0.0,68.6,1.37,15684.0,7307.0,16210.0
AB-100051,Baytex Energy,Medicine Hat,Oil Sands,Bakken,50.0924,-110.8629,2014-03-13,2014-08-16,1344.7,Producing,121.6,3.0,85.3,38.3,458745.0,39.0,458402.0
AB-100052,Cenovus Energy,Medicine Hat,Heavy Oil,Montney,50.2206,-110.477,2004-04-04,2004-06-16,2596.7,Producing,49.5,0.1,65.2,32.23,308016.0,172.0,589124.0
AB-100053,Athabasca Oil Corp,Peace River,Oil Sands,Bakken,56.3962,-116.7418,2021-03-03,2021-03-30,750.1,Producing,268.5,82.3,79.1,35.66,494999.0,356.0,1300730.0
AB-100054,Cenovus Energy,Athabasca,Gas,Cardium,57.3771,-111.8695,2012-06-08,2012-11-02,1831.9,Orphan,37.8,0.0,74.0,22.21,4322.0,3775.0,11429.0
AB-100055,Cenovus Energy,Peace River,Oil,McMurray,56.1604,-117.166,2018-10-04,2019-03-22,3011.9,Suspended,47.8,0.0,30.5,20.79,52663.0,82.0,56613.0
AB-100056,Baytex Energy,Athabasca,Oil,Viking,56.2896,-111.435,2010-03-16,2010-06-08,2630.5,Producing,53.9,6.8,66.3,37.94,160253.0,458.0,252984.0
AB-100057,Imperial Oil,Peace River,Oil Sands,Colorado Group,56.8524,-116.5099,2009-04-27,2009-09-13,2483.8,Producing,44.5,8.6,84.3,4.99,246433.0,24.0,424595.0
AB-100058,Canadian Natural Resources,Cold Lake,Oil,Bakken,54.6183,-110.339,2000-01-12,2000-04-27,2101.6,Abandoned,83.0,0.0,56.5,29.25,636335.0,252.0,1419215.0
AB-100059,Athabasca Oil Corp,Grande Prairie,Oil,Clearwater,55.1786,-118.5318,2014-05-08,2014-08-09,1598.4,Producing,105.9,7.4,,24.33,349777.0,20.0,338709.0
AB-100060,Baytex Energy,Athabasca,Gas,Clearwater,56.4021,-111.0227,1999-08-08,2000-01-08,3174.0,Producing,47.2,0.0,76.7,36.4,3621.0,1175.0,2092.0
AB-100061,Baytex Energy,Grande Prairie,Oil,McMurray,55.362,-118.9404,1998-02-01,1998-03-20,2105.7,Abandoned,43.6,0.0,86.2,27.15,381670.0,340.0,242511.0
AB-100062,Whitecap Resources,Medicine Hat,Oil,Duvernay,50.2316,-110.7096,2009-08-08,2009-11-22,1394.4,Abandoned,177.7,0.0,53.5,26.1,769330.0,85.0,356162.0
AB-100063,Cenovus Energy,Lloydminster,Gas,Clearwater,53.0876,-109.769,2011-04-13,2011-09-10,1943.2,Abandoned,105.2,0.0,29.6,17.32,1018.0,954.0,2615.0
AB-100064,Suncor Energy,Lloydminster,Gas,Viking,53.2363,-109.6801,2001-12-12,2002-05-01,1957.1,Producing,171.1,0.2,93.5,11.8,2962.0,27305.0,6751.0
AB-100065,Canadian Natural Resources,Grande Prairie,Oil,Cardium,55.5272,-119.3203,2011-02-23,2011-04-15,2766.1,Abandoned,108.8,0.0,,7.38,384332.0,211.0,1121255.0
AB-100066,MEG Energy,Lloydminster,Oil Sands,Duvernay,52.8054,-109.7881,2001-07-15,2001-08-29,1853.8,Producing,21.0,0.0,52.2,7.51,96741.0,92.0,249521.0
AB-100067,Canadian Natural Resources,Medicine Hat,Oil,McMurray,49.9441,-111.1105,1999-09-05,1999-10-09,3253.7,Producing,38.0,0.0,66.4,16.5,238461.0,39.0,513196.0
AB-100068,,Cold Lake,Oil,Viking,54.7785,-110.0939,2008-02-23,2008-04-15,2575.7,Producing,26.2,0.2,39.4,28.01,155379.0,186.0,255189.0
AB-100069,Imperial Oil,Athabasca,Oil Sands,Viking,56.076,-110.6036,1998-01-19,1998-03-05,2055.5,Suspended,33.3,0.0,87.3,31.51,223998.0,243.0,513811.0
AB-100070,Suncor Energy,Lloydminster,Gas,Colorado Group,53.2591,-109.552,1999-02-13,1999-03-22,2702.8,Producing,52.7,0.1,80.0,18.5,1188.0,428.0,591.0
AB-100071,Crescent Point Energy,Medicine Hat,Gas,Bakken,50.2498,-110.5925,2018-10-08,2018-12-09,1379.3,Abandoned,72.3,0.0,73.1,30.13,3577.0,1340.0,6108.0
AB-100072,Athabasca Oil Corp,Peace River,Heavy Oil,Clearwater,56.0076,-116.8525,2022-04-11,2022-06-15,1272.2,Producing,51.8,28.3,41.8,13.14,58308.0,34.0,82598.0
AB-100073,Obsidian Energy,Peace River,Oil Sands,Colorado Group,56.1232,-116.6406,2004-08-17,2004-10-12,2458.5,Abandoned,102.4,0.0,33.8,26.22,415643.0,276.0,529565.0
AB-100074,Obsidian Energy,Athabasca,Oil,McMurray,56.5922,-110.8292,2016-04-07,2016-07-19,1967.6,Producing,33.0,3.1,74.8,4.73,50898.0,932.0,90398.0
AB-100075,Suncor Energy,Medicine Hat,Oil,McMurray,50.2424,-111.1532,2000-07-21,2000-12-28,2936.4,Producing,160.6,1.1,87.1,4.1,674357.0,1707.0,1830418.0
AB-100076,Obsidian Energy,Athabasca,Oil,Duvernay,56.5666,-111.4675,2014-12-02,2014-12-21,1937.3,Producing,38.8,2.4,30.5,3.04,102687.0,8.0,191745.0
AB-100077,Athabasca Oil Corp,Lloydminster,Oil,Clearwater,52.9052,-109.717,2013-10-25,2014-01-02,,Suspended,178.1,0.0,76.5,39.71,767279.0,18.0,1348787.0
AB-100078,Imperial Oil,Lloydminster,Oil Sands,Viking,52.8558,-110.0201,1998-05-16,1998-07-07,1596.4,Producing,46.2,0.3,66.4,11.91,401818.0,257.0,735227.0
AB-100079,Cenovus Energy,Grande Prairie,Heavy Oil,Clearwater,55.5445,-119.3836,2000-08-10,2001-01-29,2781.5,Suspended,112.2,0.0,59.4,19.69,605565.0,178.0,1173101.0
AB-100080,Crescent Point Energy,Medicine Hat,Heavy Oil,Cardium,50.3805,-110.946,2003-09-13,2004-01-22,1757.6,Producing,25.9,1.0,92.9,11.83,191079.0,12.0,256704.0
AB-100081,Imperial Oil,Cold Lake,Heavy Oil,Duvernay,54.3678,-110.4593,2021-09-23,2021-12-29,2679.5,Producing,35.2,22.4,47.0,9.93,31570.0,1454.0,28292.0
AB-100082,Obsidian Energy,Grande Prairie,Oil Sands,Viking,55.4784,-118.7757,2000-07-27,2000-11-10,878.1,Producing,62.3,0.0,71.7,23.7,456661.0,295.0,535869.0
AB-100083,Crescent Point Energy,Lloydminster,Heavy Oil,Viking,53.3855,-109.6389,2001-01-03,2001-06-05,964.5,Producing,65.1,0.0,50.2,15.66,378758.0,41.0,583479.0
AB-100084,Crescent Point Energy,Lloydminster,Oil Sands,Colorado Group,52.8799,-110.1285,2006-01-02,2006-03-17,1661.5,Abandoned,47.4,0.0,72.0,18.55,190157.0,123.0,510122.0
AB-100085,Baytex Energy,Grande Prairie,Oil,Colorado Group,55.2098,-118.8198,2022-07-11,2022-12-01,2483.3,Producing,32.4,22.7,48.9,8.22,21653.0,55.0,12248.0
AB-100086,Canadian Natural Resources,Cold Lake,Heavy Oil,Cardium,54.0168,-110.4425,2005-08-25,2005-11-20,923.2,Producing,42.4,0.3,64.6,38.77,278027.0,1317.0,644966.0
AB-100087,Canadian Natural Resources,Cold Lake,Oil,Montney,54.2706,-109.8503,2022-08-27,2022-11-27,3059.5,Producing,54.6,22.6,62.0,34.59,64382.0,584.0,179053.0
AB-100088,Cenovus Energy,Lloydminster,Oil Sands,Colorado Group,52.9326,-109.5151,2011-07-23,2011-10-31,1220.1,Producing,151.2,2.6,77.5,20.05,403006.0,34.0,945894.0
AB-100089,Whitecap Resources,Peace River,Oil Sands,Cardium,56.2975,-116.935,2004-12-15,2005-01-23,559.2,Suspended,53.2,0.0,73.4,8.96,304340.0,41.0,693680.0
AB-100090,Obsidian Energy,Peace River,Gas,Colorado Group,56.6879,-117.1247,2001-06-10,2001-09-22,2018.7,Producing,88.9,0.1,73.9,19.34,2510.0,1936.0,5114.0
AB-100091,MEG Energy,Medicine Hat,Gas,Viking,50.2151,-110.8868,2005-07-21,2005-09-11,1140.9,Producing,18.2,1.2,35.6,9.79,3515.0,3367.0,1556.0
AB-100092,Athabasca Oil Corp,Medicine Hat,Heavy Oil,Duvernay,50.3635,-110.9841,2014-03-22,2014-09-04,2581.1,Suspended,37.2,0.0,18.6,17.93,74152.0,305.0,169534.0
AB-100093,Cenovus Energy,Medicine Hat,Oil Sands,Cardium,50.2498,-110.863,2013-11-15,2014-01-15,844.2,Abandoned,363.6,0.0,,1.94,1471628.0,25.0,1526507.0
AB-100094,Imperial Oil,Lloydminster,Heavy Oil,Colorado Group,53.2695,-110.1607,2023-03-05,2023-06-20,,Producing,5.3,1.9,39.9,36.47,5079.0,74.0,6993.0
AB-100095,Athabasca Oil Corp,Athabasca,Oil,Montney,58.3915,-111.8966,2019-12-07,2020-06-01,1557.7,Producing,62.8,10.6,59.7,34.27,61062.0,433.0,120487.0
AB-100096,Athabasca Oil Corp,Grande Prairie,Oil,McMurray,55.0522,-118.7281,2012-02-24,2012-08-04,2611.9,Suspended,47.5,0.0,66.7,8.46,146104.0,235.0,425434.0
AB-100097,Suncor Energy,Cold Lake,Oil,Montney,54.576,-110.2074,2019-07-01,2019-10-04,1708.0,Orphan,165.8,0.0,68.5,17.72,200874.0,27.0,113176.0
AB-100098,Obsidian Energy,Medicine Hat,Oil,McMurray,50.0034,-110.5704,2007-03-19,2007-06-04,2255.1,Producing,74.9,2.8,79.8,10.96,498386.0,42.0,903321.0
AB-100099,MEG Energy,Cold Lake,Heavy Oil,Viking,54.0522,-110.1752,1998-10-20,1998-11-09,1237.6,Producing,9.8,0.5,58.3,14.91,75771.0,36.0,154210.0
AB-100100,Suncor Energy,Cold Lake,Oil,Colorado Group,54.3581,-110.1095,2013-03-13,2013-03-30,1013.3,Abandoned,658.1,0.0,45.5,13.21,2772895.0,45.0,8077278.0
AB-100101,Athabasca Oil Corp,Athabasca,Heavy Oil,Duvernay,58.009,-111.2422,2010-07-21,2010-08-25,1154.2,Orphan,191.8,0.0,42.9,2.15,981925.0,68.0,2875406.0
AB-100102,Athabasca Oil Corp,Medicine Hat,Gas,Cardium,50.1786,-110.6318,2008-02-15,2008-06-16,920.0,Producing,214.3,8.8,58.0,4.92,1199.0,846.0,820.0
AB-100103,Suncor Energy,Cold Lake,Oil Sands,Duvernay,54.5991,-110.0442,2019-01-05,2019-05-07,2082.6,Suspended,65.2,0.0,20.6,7.82,153952.0,358.0,162272.0
AB-100104,Baytex Energy,Cold Lake,Oil,Clearwater,54.4101,-110.2863,2000-09-21,2000-11-20,1467.6,Suspended,123.4,0.0,62.7,1.01,572086.0,455.0,773661.0
AB-100105,Imperial Oil,Grande Prairie,Gas,Clearwater,55.1053,-119.3712,2011-11-20,2012-03-26,1644.7,Abandoned,97.5,0.0,58.9,38.55,3633.0,11305.0,3852.0
AB-100106,Cenovus Energy,Medicine Hat,Oil,Colorado Group,49.8842,-111.1453,2006-01-24,2006-03-31,1431.3,Producing,25.8,0.2,46.0,35.8,98907.0,572.0,50761.0
AB-100107,Athabasca Oil Corp,Medicine Hat,Oil Sands,Cardium,50.1004,-110.9858,2018-05-05,2018-07-06,2043.3,Producing,190.0,81.9,46.5,23.3,392817.0,10.0,578781.0
AB-100108,Canadian Natural Resources,Cold Lake,Heavy Oil,McMurray,54.1319,-110.3806,2003-04-25,2003-10-13,1318.4,Suspended,48.1,0.0,66.0,11.49,257518.0,11.0,697101.0
AB-100109,Crescent Point Energy,Lloydminster,Oil,McMurray,53.0835,-110.168,2007-01-25,2007-05-12,3407.5,Producing,42.3,0.9,98.0,2.93,263077.0,72.0,407691.0
AB-100110,Suncor Energy,Medicine Hat,Oil,Duvernay,50.0778,-111.1645,2021-05-17,2021-07-11,2342.8,Abandoned,79.5,0.0,67.3,37.25,73059.0,176.0,98824.0
AB-100111,Suncor Energy,Lloydminster,Gas,Bakken,53.2284,-109.7745,2010-10-07,2010-10-29,2367.5,Producing,107.9,0.8,95.7,4.6,2982.0,11845.0,4149.0
AB-100112,Cenovus Energy,Athabasca,Oil Sands,Bakken,58.3543,-110.9971,1999-03-11,1999-04-04,1879.7,Producing,100.1,4.1,51.4,32.98,740775.0,177.0,1287267.0
AB-100113,Obsidian Energy,Lloydminster,Heavy Oil,Cardium,53.0396,-109.5629,2022-07-24,2022-09-14,2129.7,Producing,142.7,52.8,42.3,32.14,174918.0,10.0,327435.0
AB-100114,Baytex Energy,Athabasca,Gas,Colorado Group,56.0686,-111.4105,1999-08-05,1999-08-26,1314.8,Producing,28.0,0.0,,3.8,2048.0,24186.0,2335.0
AB-100115,Crescent Point Energy,Lloydminster,Oil Sands,Viking,53.1187,-109.6108,2003-01-04,2003-05-11,1767.8,Producing,23.8,0.2,65.9,16.13,101018.0,10.0,275801.0
AB-100116,Obsidian Energy,Grande Prairie,Oil Sands,Viking,55.0512,-118.6116,2006-01-13,2006-03-27,1551.5,Orphan,16.2,0.0,47.1,30.71,106907.0,25.0,159205.0
AB-100117,Crescent Point Energy,Lloydminster,Gas,Bakken,52.9168,-110.1596,2009-05-12,2009-10-12,414.5,Producing,130.7,18.3,98.0,39.76,4402.0,15544.0,8697.0
AB-100118,Suncor Energy,Lloydminster,Oil Sands,Cardium,52.8888,-109.6032,2019-03-27,2019-08-05,3170.8,Producing,40.8,12.1,58.8,19.2,44345.0,166.0,129397.0
AB-100119,Suncor Energy,Cold Lake,Heavy Oil,Colorado Group,54.7848,-110.1616,2020-10-04,2021-01-28,3671.5,Producing,157.8,42.1,34.4,18.78,208081.0,1446.0,515582.0
AB-100120,Crescent Point Energy,Athabasca,Oil Sands,Colorado Group,56.1487,-111.9952,1998-08-19,1998-11-04,2986.7,Abandoned,544.5,0.0,83.7,29.19,4021775.0,83.0,2666335.0
AB-100121,Canadian Natural Resources,Grande Prairie,Oil,Bakken,55.4435,-119.2212,2022-03-19,2022-07-25,2467.2,Producing,105.8,76.1,49.5,30.38,129769.0,883.0,335320.0
AB-100122,MEG Energy,Athabasca,Oil Sands,Bakken,57.8079,-111.5795,2003-11-03,2004-01-28,2295.8,Producing,68.5,0.1,82.8,28.58,246849.0,44.0,122643.0
AB-100123,MEG Energy,Grande Prairie,Oil,Clearwater,55.4907,-119.0987,2021-07-27,2021-12-06,1614.8,Producing,11.0,3.5,42.5,5.79,16898.0,2.0,31799.0
AB-100124,Canadian Natural Resources,Grande Prairie,Gas,Colorado Group,55.3097,-118.9737,2011-04-21,2011-10-04,1928.7,Producing,35.7,1.2,98.0,5.01,945.0,12135.0,2282.0
AB-100125,Cenovus Energy,Medicine Hat,Heavy Oil,Duvernay,50.2949,-111.1498,2006-06-05,2006-10-18,1681.4,Producing,76.3,0.2,80.6,15.72,521399.0,48.0,215957.0
AB-100126,,Peace River,Oil,Duvernay,56.8442,-116.8242,2018-05-11,2018-06-07,2039.2,Producing,94.1,26.9,38.0,39.98,130599.0,11.0,214984.0
AB-100127,,Athabasca,Oil Sands,Duvernay,57.1899,-111.8335,2000-12-09,2001-04-26,1599.5,Producing,89.5,0.7,50.2,26.26,710070.0,407.0,454058.0
AB-100128,MEG Energy,Medicine Hat,Oil Sands,Montney,50.2514,-110.8839,2019-01-04,2019-02-08,1684.9,Producing,13.9,3.7,55.2,16.77,26851.0,33.0,51202.0
AB-100129,Whitecap Resources,Peace River,Gas,Duvernay,56.8776,-117.4583,1998-04-23,1998-10-10,,Producing,34.9,0.0,64.6,8.09,2178.0,488.0,4998.0
AB-100130,Whitecap Resources,Athabasca,Oil,Duvernay,56.9293,-111.998,2001-07-04,2001-11-06,903.8,Suspended,93.1,0.0,98.0,28.7,796831.0,82.0,1536998.0
AB-100131,Cenovus Energy,Cold Lake,Oil,Bakken,54.4658,-109.8069,2021-04-18,2021-07-16,917.9,Producing,38.3,21.3,59.0,32.63,53874.0,1589.0,53968.0
AB-100132,Baytex Energy,Grande Prairie,Gas,Clearwater,55.0699,-118.775,2006-02-26,2006-07-04,1089.4,Producing,25.0,0.2,94.6,27.51,381.0,3933.0,397.0
AB-100133,Suncor Energy,Cold Lake,Gas,Montney,54.4375,-110.3738,2000-06-08,2000-10-08,2113.5,Producing,93.1,0.0,73.4,24.15,365.0,3805.0,297.0
AB-100134,Obsidian Energy,Peace River,Gas,Duvernay,56.355,-116.8017,2013-02-02,2013-02-24,1829.0,Producing,28.1,1.7,88.3,31.09,2494.0,6055.0,830.0
AB-100135,Suncor Energy,Lloydminster,Heavy Oil,Cardium,53.0262,-109.8136,2018-08-10,2018-12-06,2128.7,Producing,126.8,28.8,57.1,12.27,224270.0,20.0,524011.0
AB-100136,Obsidian Energy,Athabasca,Oil Sands,Cardium,57.1109,-111.5867,2010-04-20,2010-08-03,677.7,Producing,103.4,0.8,91.8,29.05,441599.0,430.0,642198.0
AB-100137,Cenovus Energy,Peace River,Heavy Oil,Cardium,56.1438,-117.0699,2023-08-05,2024-01-15,2263.4,Abandoned,108.3,0.0,41.5,2.28,75570.0,18.0,202121.0
AB-100138,Imperial Oil,Peace River,Oil Sands,Cardium,56.8358,-117.1678,2021-08-10,2021-08-28,1148.1,Producing,13.5,2.9,42.1,38.95,12870.0,3.0,14432.0
AB-100139,Cenovus Energy,Peace River,Gas,Colorado Group,56.0519,-117.3089,2016-04-15,2016-09-17,591.9,Producing,36.2,2.5,39.2,32.46,4924.0,1217.0,9330.0
AB-100140,MEG Energy,Peace River,Oil,Viking,56.4145,-116.7462,1999-09-17,2000-02-17,2795.7,Suspended,102.3,0.0,73.0,28.63,476012.0,30.0,1392588.0
